data,adset_id,adset_name,campaign_id,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada,sessoes,leads_com_sessao
2026-07-22,120253057408300281,[AFS] [F3] [KHANYISA MTHEMBU] V6,120253057329110281,8,8,8,12,21,1.01,0,0
2026-07-22,120253057415450281,[AFS] [F3] [NTOMBI ZUMA] V1,120253057415460281,9,9,9,8,27,1.14,0,0
2026-07-22,120253057444620281,[AFS] [F3] [NTOMBI ZUMA] V2,120253057415460281,18,18,18,15,48,1.58,0,0
2026-07-22,120253057454260281,[AFS] [F3] [NTOMBI ZUMA] V3,120253057415460281,11,11,11,15,30,2.33,0,0
2026-07-22,120253057457110281,[AFS] [F3] [NTOMBI ZUMA] V4,120253057415460281,9,9,9,15,27,1.69,0,0
2026-07-22,120253057459930281,[AFS] [F3] [NTOMBI ZUMA] V5,120253057415460281,10,10,10,15,27,1.34,0,0
2026-07-22,120253057464720281,[AFS] [F3] [NTOMBI ZUMA] V6,120253057415460281,4,4,4,3,12,0.41,0,0
2026-07-22,120253057479010281,[AFS] [F3] [SIBONGILE MOLEFE]V1,120253057478930281,2,2,2,0,3,0.00,0,0
2026-07-22,120253057510640281,[AFS] [F3] [SIBONGILE MOLEFE] V2,120253057478930281,7,7,7,2,15,0.21,0,0
2026-07-22,120253057512790281,[AFS] [F3] [SIBONGILE MOLEFE] V3,120253057478930281,6,6,6,3,12,0.40,0,0
2026-07-22,120253057515110281,[AFS] [F3] [SIBONGILE MOLEFE] V4,120253057478930281,5,5,5,6,15,1.22,0,0
2026-07-22,120253057519430281,[AFS] [F3] [SIBONGILE MOLEFE] V5,120253057478930281,3,3,3,0,3,0.10,0,0
2026-07-22,120253057522840281,[AFS] [F3] [SIBONGILE MOLEFE] V6,120253057478930281,2,2,2,3,6,0.15,0,0
2026-07-22,120253079044420281,[AFS] [F3] [ZOLA OKAFOR] V1,120253079044410281,16,16,16,6,57,1.56,0,0
2026-07-22,120253079114620281,[AFS] [F3] [ZOLA OKAFOR] V2,120253079044410281,29,29,29,3,90,0.71,0,0
2026-07-22,120253079117950281,[AFS] [F3] [ZOLA OKAFOR] V3,120253079044410281,17,17,17,3,51,0.40,0,0
2026-07-22,120253079122720281,[AFS_RELA_EN_BOT_0003] [ZOLA] V4,120253079044410281,1,1,1,0,3,0.00,0,0
2026-07-22,120253079128080281,[AFS] [F3] [ZOLA OKAFOR] V5,120253079044410281,25,25,25,16,78,2.48,0,0
2026-07-22,120253079132510281,[AFS] [F3] [ZOLA OKAFOR] V6,120253079044410281,16,16,16,11,45,1.43,0,0
2026-07-22,120253082530860281,[AFS] [F3] [NOSIZWE HLONGWANE] V1,120253082530810281,14,14,14,15,42,1.95,0,0
2026-07-22,120253082684680281,[AFS] [F3] [NOSIZWE HLONGWANE] V2,120253082530810281,12,12,12,10,42,1.13,0,0
2026-07-22,120253082723400281,[AFS] [F3] [NOSIZWE HLONGWANE] V3,120253082530810281,30,30,30,38,90,6.11,0,0
2026-07-22,120253082732550281,[AFS] [F3] [NOSIZWE HLONGWANE] V4,120253082530810281,20,20,20,16,60,1.44,0,0
2026-07-22,120253082737930281,[AFS] [F3] [NOSIZWE HLONGWANE] V5,120253082530810281,25,25,25,21,75,3.46,0,0
2026-07-22,120253082741790281,[AFS] [F3] [NOSIZWE HLONGWANE] V6,120253082530810281,31,31,31,45,96,6.28,0,0
2026-07-22,120253082817280281,[AFS] [F3] [ZANELE DUDE] V1,120253082817170281,36,36,36,34,102,2.86,0,0
2026-07-22,120253082840560281,[AFS] [F3] [ZANELE DUDE]  V2,120253082817170281,39,39,39,24,126,2.07,0,0
2026-07-22,120253082846410281,[AFS] [F3] [ZANELE DUDE]  V3,120253082817170281,28,28,28,19,84,1.48,0,0
2026-07-22,120253082849840281,[AFS] [F3] [ZANELE DUDE]  V4,120253082817170281,22,22,22,18,66,2.87,0,0
2026-07-22,120253082852390281,[AFS] [F3] [ZANELE DUDE] V5,120253082817170281,22,22,22,15,69,1.60,0,0
2026-07-22,120253082855810281,[AFS] [F3] [ZANELE DUDE] V6,120253082817170281,36,36,36,23,114,2.11,0,0
2026-07-22,120253100952610281,[AFS] [F3] [NOKUTHULA NDLOVU] V4,120253100917260281,1,1,1,0,0,0,0,0
2026-07-22,120253100955530281,[AFS] [F3] [NOKUTHULA NDLOVU] V3,120253100917260281,1,1,1,0,0,0,0,0
2026-07-22,120253100996160281,[AFS] [F3] [NOKUTHULA NDLOVU] V5,120253100917260281,1,1,1,0,3,0.00,0,0
2026-07-22,120253101016690281,[AFS] [F3] [ZANELE MOKO] V1,120253101016570281,9,9,9,16,27,3.18,0,0
2026-07-22,120253101032080281,[AFS] [F3] [ZANELE MOKO] V2,120253101016570281,4,4,4,3,12,0.33,0,0
2026-07-22,120253101033490281,[AFS] [F3] [ZANELE MOKO] V3,120253101016570281,9,9,9,6,24,0.52,0,0
2026-07-22,120253101035060281,[AFS] [F3] [ZANELE MOKO] V4,120253101016570281,12,12,12,12,27,1.04,0,0
2026-07-22,120253101038430281,[AFS] [F3] [ZANELE MOKO] V5,120253101016570281,10,10,10,13,27,0.88,0,0
2026-07-22,120253101044980281,[AFS] [F3] [ZANELE MOKO] V6,120253101016570281,20,20,20,21,51,1.22,0,0
2026-07-22,120253101069070281,[AFS] [F3] [NOMPUMELELO DUDE] V1,120253101068990281,11,11,11,6,27,0.42,0,0
2026-07-22,120253101088870281,[AFS] [F3] [NOMPUMELELO DUDE] V2,120253101068990281,1,1,1,3,3,0.43,0,0
2026-07-22,120253101091190281,[AFS] [F3] [NOMPUMELELO DUDE] V3,120253101068990281,1,1,1,3,3,0.37,0,0
2026-07-22,120253101093050281,[AFS] [F3] [NOMPUMELELO DUDE] V4,120253101068990281,3,3,3,0,6,0.00,0,0
2026-07-22,120253101094910281,[AFS] [F3] [NOMPUMELELO DUDE] V5,120253101068990281,2,2,2,3,6,0.47,0,0
2026-07-22,120253101270940281,[AFS] [F3] [SINDISIWE XABA] V1,120253101270850281,29,29,29,36,96,2.82,0,0
2026-07-22,120253101284450281,[AFS] [F3] [SINDISIWE XABA] V2,120253101270850281,49,49,49,41,150,4.84,0,0
2026-07-22,120253101286320281,[AFS] [F3] [SINDISIWE XABA] V3,120253101270850281,17,17,17,6,51,0.57,0,0
2026-07-22,120253101288330281,[AFS] [F3] [SINDISIWE XABA] V4,120253101270850281,26,26,26,40,78,2.81,0,0
2026-07-22,120253101296180281,[AFS] [F3] [SINDISIWE XABA] V6,120253101270850281,15,15,15,12,42,1.32,0,0
2026-07-22,120253101303050281,[AFS] [F3] [AYANDA ZULU]  V1,120253101302970281,34,34,34,51,102,4.74,0,0
2026-07-22,120253101316180281,[AFS] [F3] [AYANDA ZULU] V2,120253101302970281,28,28,28,40,90,3.43,0,0
2026-07-22,120253101319060281,[AFS] [F3] [AYANDA ZULU]  V3,120253101302970281,13,13,13,9,45,1.49,0,0
2026-07-22,120253101321190281,[AFS] [F3] [AYANDA ZULU]  V4,120253101302970281,33,33,33,32,96,2.96,0,0
2026-07-22,120253101322290281,[AFS] [F3] [AYANDA ZULU]  V5,120253101302970281,11,11,11,16,45,1.36,0,0
2026-07-22,120253101330930281,[AFS] [F3] [TARIRO CHIKORE] V1,120253101330870281,26,26,26,40,84,4.39,0,0
