data,conta,campaign_id,campaign_name,adset_id,adset_name,gasto,impressoes_meta,alcance,frequencia,cpm,cliques_link,ctr_link,cpc_link,conversas,custo_conversa,status_atual,orcamento_diario_atual,leads_entrada,cliques_ad,threads,leads_qualificados,leads_avaliados,receita_estimada_brl,sessoes,leads_com_sessao,gap_clique_sessao,pct_chegada_blog,sessoes_por_lead,taxa_qualificacao,receita_gam_bruta,receita_gam_liquida,impressoes_gam,cliques_gam,ecpm_gam
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141410278,[AFS] [F3] [CHIPO MOYO]  V6,0.95,1031,1018,1.0128,0.92,59,5.7226,0.0161,56,0.017,CAMPAIGN_PAUSED,1,27,27,26,43,84,3.73,0,0,27,0,,51.2,7.48,6.73,117,20,63.94
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141440278,[AFS] [F3] [CHIPO MOYO]  V3,0.99,792,792,1,1.25,46,5.8081,0.0215,66,0.015,PAUSED,1,34,34,32,40,99,3.21,0,0,34,0,,40.4,5.8,5.22,72,8,80.5
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141470278,[AFS] [F3] [CHIPO MOYO]  V5,0.94,754,736,1.0245,1.25,54,7.1618,0.0174,57,0.0165,PAUSED,1,31,31,26,44,96,4.59,0,0,31,0,,45.8,8.16,7.35,105,22,77.74
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141480278,[AFS] [F3] [CHIPO MOYO]  V4,0.92,901,901,1,1.02,45,4.9945,0.0204,62,0.0148,,,30,30,27,39,96,4.77,0,0,30,0,,40.6,5.58,5.02,112,12,49.82
2026-07-22,C 01,120247360141370278,[E1] [MKUKER] [AFS] [F3] [CHIPO MOYO] [ISABELA RIBEIRO],120247360141490278,[AFS] [F3] [CHIPO MOYO]  V2,1.05,924,924,1,1.14,71,7.684,0.0148,89,0.0118,CAMPAIGN_PAUSED,1,42,42,42,42,123,4.47,0,0,42,0,,34.1,7.3,6.57,103,18,70.84
2026-07-22,C 01,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356770278,[AFS] [F3] [FATOUMATA TRAORE] V4,1.06,740,726,1.0193,1.43,71,9.5946,0.0149,86,0.0123,PAUSED,1,48,48,41,41,141,4.70,0,0,48,0,,29.1,10.12,9.1,127,29,79.65
2026-07-22,C 01,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356790278,[AFS] [F3] [FATOUMATA TRAORE] V6,1.01,527,506,1.0415,1.92,46,8.7287,0.022,62,0.0163,CAMPAIGN_PAUSED,1,27,27,25,29,81,3.86,0,0,27,0,,35.8,6.48,5.83,85,17,76.19
2026-07-22,C 01,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356800278,[AFS] [F3] [FATOUMATA TRAORE] V5,0.95,541,541,1,1.76,30,5.5453,0.0317,47,0.0202,PAUSED,1,20,20,17,32,66,2.69,0,0,20,0,,48.5,5.37,4.83,83,15,64.7
2026-07-22,C 01,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356810278,[AFS] [F3] [FATOUMATA TRAORE] V3,1.02,541,537,1.0074,1.89,30,5.5453,0.034,48,0.0213,PAUSED,1,34,34,28,20,93,1.76,0,0,34,0,,21.5,5.11,4.6,63,11,81.1
2026-07-22,C 01,120247360356710278,[E1] [MKUKER] [AFS] [F3] [FATOUMATA TRAORE] [ISABELA RIBEIRO],120247360356820278,[AFS] [F3] [FATOUMATA TRAORE] V2,1.03,546,546,1,1.89,35,6.4103,0.0294,52,0.0198,PAUSED,1,23,23,19,20,69,1.16,0,0,23,0,,29,2.13,1.91,28,7,75.99
